,Тема,Вопрос из БЗ,Ответ из БЗ,Классификатор 1 уровня,Классификатор 2 уровня
10,Авторское право,Можно ли свободно использовать материалы из интернета или из общего доступа?,"У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.",МОДЕРАЦИЯ,Отклонение/блокировка видео
11,Авторское право,"Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?","Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала.",МОДЕРАЦИЯ,Отклонение/блокировка видео
12,Авторское право,Можно ли публиковать видео с чтением чужих книг и их переводов?,"Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.",МОДЕРАЦИЯ,Отклонение/блокировка видео
13,Авторское право,Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?,"Да, права на персонажей фильмов/мультфильмов/игр/сериалов охраняются авторским правом, и их образы нельзя использовать без официального разрешения автора или правообладателя.",МОДЕРАЦИЯ,Отклонение/блокировка видео
14,Авторское право,"Почему вы не разглашаете, чьи авторские права я нарушаю?","Мы строго следуем правилам платформы, а именно п. 4.18, 4.27, 4.30 Генерального пользовательского соглашения RUTUBE.",МОДЕРАЦИЯ,Отклонение/блокировка видео
15,Авторское право,"Как пожаловаться на видео, если оно нарушает авторские права?","Чтобы отправить жалобу, заполните форму: Для юридических лиц: https://rutube.ru/forms/form/2/ . Для физических лиц: https://rutube.ru/forms/form/12/. Или нажмите «Пожаловаться» в меню действий видео, комментария, плейлиста или канала.",МОДЕРАЦИЯ,Нарушение авторских прав
16,Мобильное приложение Студия RUTUBE на IOS,Что такое мобильное приложение Студия RUTUBE?,"Приложение Студия RUTUBE — это приложение для смартфонов работающих под управлением iOS и Аndroid, HarmonyOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
17,Мобильное приложение Студия RUTUBE на IOS,Какие функции доступны в приложении Студия RUTUBE?,"В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
18,Мобильное приложение Студия RUTUBE на IOS,На каких операционных системах доступно приложение Студия RUTUBE?,"Приложение доступно на мобильных устройствах с операционной системой iOS (версия 16.0 и выше), Аndroid (версия 8 и выше) и HarmonyOS.",ДОСТУП К RUTUBE,Приложение 
19,Мобильное приложение Студия RUTUBE на IOS,Как узнать версию приложения Студия RUTUBE?,"Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE.",ОТСУТСТВУЕТ,Отсутствует
20,Мобильное приложение Студия RUTUBE на IOS,Как зарегистрироваться в приложении Студия RUTUBE?,Зарегистрироваться в приложении можно по номеру телефона или электронной почте.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
21,Мобильное приложение Студия RUTUBE на IOS,Как авторизоваться в приложении Студия RUTUBE?,Авторизоваться в приложении можно по номеру телефона или электронной почте.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
22,Мобильное приложение Студия RUTUBE на IOS,Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,"Да, если у вас есть ранее созданный аккаунт в RUTUBE.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
23,Мобильное приложение Студия RUTUBE на IOS,Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,"Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
24,Мобильное приложение Студия RUTUBE на IOS,Как выйти из аккаунта в приложении Студия RUTUBE?,"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
25,Мобильное приложение Студия RUTUBE на IOS,Можно ли изменять данные профиля в приложении Студия RUTUBE?,"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
26,Мобильное приложение Студия RUTUBE на IOS,Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
27,Мобильное приложение Студия RUTUBE на IOS,Можно ли удалить канал через приложение Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".",УПРАВЛЕНИЕ АККАУНТОМ,Удаление аккаунта
28,Мобильное приложение Студия RUTUBE на IOS,Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,"Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
29,Мобильное приложение Студия RUTUBE на IOS,Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?,"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
30,Мобильное приложение Студия RUTUBE на IOS,Можно ли управлять другим каналом через приложение Студия RUTUBE?,"Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
31,Мобильное приложение Студия RUTUBE на IOS,Какие требования к обложке канала?,"Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
32,Мобильное приложение Студия RUTUBE на IOS,"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",На данный момент такой возможности нет.,ПРЕДЛОЖЕНИЯ,Навигация
33,Мобильное приложение Студия RUTUBE на IOS,Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
34,Мобильное приложение Студия RUTUBE на IOS,Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization",ПРЕДЛОЖЕНИЯ,Монетизация
35,Мобильное приложение Студия RUTUBE на IOS,Как подключиться к партнерской программе в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": ссылка Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",ПРЕДЛОЖЕНИЯ,Монетизация
36,Мобильное приложение Студия RUTUBE на IOS,Как создать плейлисты в приложении Студия RUTUBE?,"Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
37,Мобильное приложение Студия RUTUBE на IOS,Можно ли загружать видео или Shorts в приложении Студия RUTUBE?,"Да, вы можете загружать ролики как формата Shorts, так и обычные.",ВИДЕО,Загрузка видео
38,Мобильное приложение Студия RUTUBE на IOS,Можно ли в приложении Студия RUTUBE создавать и вести трансляции?,"Пока в приложении такой возможности нет. Возможность запускать трансляции добавим в следующих обновлениях приложения. Рекомендуем воспользоваться разделом ""Создание трансляции"" в веб-версии Студии: https://studio.rutube.ru/create-stream",ПРЕДЛОЖЕНИЯ,Трансляция
39,Мобильное приложение Студия RUTUBE на IOS,"Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?","Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео.",ПРЕДЛОЖЕНИЯ,Навигация
40,Мобильное приложение Студия RUTUBE на IOS,Какие требования к обложке видео?,"Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",ВИДЕО,Загрузка видео
41,Мобильное приложение Студия RUTUBE на IOS,Можно ли работать с комментариями в приложении Студия RUTUBE?,"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
42,Мобильное приложение Студия RUTUBE на IOS,Как перенести видео c YouTube на RUTUBE?,Перенести видео c Youtube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE
43,Мобильное приложение Студия RUTUBE на IOS,Не могу зарегистрироваться/авторизоваться в приложении Студия RUTUBE. Что делать?  ,"Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
44,Мобильное приложение Студия RUTUBE на IOS,Как написать обращение в поддержку через приложение Студия RUTUBE? ,"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru",ОТСУТСТВУЕТ,Отсутствует
45,Мобильное приложение Студия RUTUBE на Android,Что такое мобильное приложение Студия RUTUBE?,"Приложение Студия RUTUBE — это приложение для смартфонов, работающих под управлением Аndroid, HarmonyOS и iOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
46,Мобильное приложение Студия RUTUBE на Android,Какие функции доступны в приложении Студия RUTUBE?,В приложении Студия RUTUBE доступны: 1. Страница управления настройками 2. Загрузка и редактирование видео 3. Создание и редактирование плейлистов 4. Статистика по видео и трансляциям 5. Аналитика канала 6. Страница работы с комментариями 7. Создание и редактирование роликов Shorts 8. Создание и управление трансляцией,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
47,Мобильное приложение Студия RUTUBE на Android,Где можно скачать приложение Студия RUTUBE?,Скачать приложение Студия RUTUBE можно в: 1. Google Play: https://play.google.com/store/apps/details?id=ru.rutube.studio 2. AppGallery: https://appgallery.huawei.com/#/app/C111062405 3. RuStore: https://www.rustore.ru/catalog/app/ru.rutube.studio,ДОСТУП К RUTUBE,Приложение 
48,Мобильное приложение Студия RUTUBE на Android,На каких операционных системах доступно приложение Студия RUTUBE?,"Приложение доступно на мобильных устройствах с операционной системой Аndroid (версия 8 и выше), HarmonyOS (версия ... и выше) и iOS (версия 16.0 и выше).",ДОСТУП К RUTUBE,Приложение 
49,Мобильное приложение Студия RUTUBE на Android,Как узнать версию приложения Студия RUTUBE?,"Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE.",ОТСУТСТВУЕТ,Отсутствует
50,Мобильное приложение Студия RUTUBE на Android,Доступно ли приложение Студия RUTUBE на планшетах?,"Вы можете скачать приложение на планшет, но верстка будет для мобильного приложения. Замечания и пожелания по версии Студии RUTUBE для планшетов, пожалуйста, отправляйте на help@rutube.ru",ДОСТУП К RUTUBE,Приложение 
51,Мобильное приложение Студия RUTUBE на Android,Как зарегистрироваться в приложении Студия RUTUBE?,Зарегистрироваться в приложении можно по номеру телефона или электронной почте.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
52,Мобильное приложение Студия RUTUBE на Android,Как авторизоваться в приложении Студия RUTUBE?,Авторизоваться в приложении можно по номеру телефона или электронной почте.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
53,Мобильное приложение Студия RUTUBE на Android,Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,"Да, если у вас есть ранее созданный аккаунт в RUTUBE.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
54,Мобильное приложение Студия RUTUBE на Android,Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,"Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
55,Мобильное приложение Студия RUTUBE на Android,Как выйти из аккаунта в приложении Студия RUTUBE?,"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
56,Мобильное приложение Студия RUTUBE на Android,Можно ли изменять данные профиля в приложении Студия RUTUBE?,"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
57,Мобильное приложение Студия RUTUBE на Android,Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
58,Мобильное приложение Студия RUTUBE на Android,Можно ли удалить канал через приложение Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".",УПРАВЛЕНИЕ АККАУНТОМ,Удаление аккаунта
59,Мобильное приложение Студия RUTUBE на Android,Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,"Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
60,Мобильное приложение Студия RUTUBE на Android,Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?,"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": https://studio.rutube.ru/channel-settings Подробнее про управление доступами: https://rutube.ru/info/studio",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
61,Мобильное приложение Студия RUTUBE на Android,Можно ли управлять другим каналом через приложение Студия RUTUBE?,"Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
62,Мобильное приложение Студия RUTUBE на Android,Какие требования к обложке канала?,"Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
63,Мобильное приложение Студия RUTUBE на Android,"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",На данный момент такой возможности нет.,ПРЕДЛОЖЕНИЯ,Навигация
64,Мобильное приложение Студия RUTUBE на Android,Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,"Для просмотра аналитики по конкретному видео перейдите во вкладку ""Видео"", сверху экрана выберите подраздел ""Видео"" или ""Shorts"" и нажмите на интересующий вас ролик.",УПРАВЛЕНИЕ АККАУНТОМ,Аналитика
65,Мобильное приложение Студия RUTUBE на Android,Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization",ПРЕДЛОЖЕНИЯ,Монетизация
66,Мобильное приложение Студия RUTUBE на Android,Как подключиться к партнерской программе в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",ПРЕДЛОЖЕНИЯ,Монетизация
67,Мобильное приложение Студия RUTUBE на Android,Как создать плейлисты в приложении Студия RUTUBE?,"Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
68,Мобильное приложение Студия RUTUBE на Android,Можно ли в приложении Студия RUTUBE создавать и загружать видео?,"Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные.",ВИДЕО,Загрузка видео
69,Мобильное приложение Студия RUTUBE на Android,Можно ли в приложении Студия RUTUBE создавать и вести трансляции?,"Да, можно. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",ТРАНСЛЯЦИЯ,Управление трансляцией
